Name,fscs_id,City,State,Locale code,service_area_population,central_libraries,branch_libraries,bookmobiles,interlibrary_relationship,legal_basis,administrative_structure,fscs_definition,geographic_code,mls_librarian_staff,librarian_staff,other_staff,total_staff,local_revenue,state_revenue,federal_revenue,other_revenue,total_revenue,salaries,benefits,total_staff_expenditures,print_expenditures,electronic_expenditures,other_collection_expenditures,total_collection_expenditures,other_expenditures,total_expenditures,local_capital_revenue,state_capital_revenue,federal_capital_revenue,other_capital_revenue,total_capital_revenue,capital_expenditures,print_materials,ebooks,audio_materials,audio_downloads,video_materials,video_downloads,local_databases,state_databases,total_databases,print_serials,hours,visits,references,users,total_circulation,kids_circulation,electronic_circulation,physical_item_circulation,electronic_info_retrievals,electronic_content_uses,total_circulation_retrievals,loans_to,loans_from,total_programs,kids_programs,ya_programs,program_audience,kids_program_audience,ya_program_audience,computers,computer_uses,wifi_sessions
CATHLAMET PUBLIC LIBRARY,WA0004,CATHLAMET,WA,Rural (42),520,1,0,0,NO,CI,SO,Y,CI1,0.4,0.4,0,0.4,46268,0,0,2204,48472,S,S,S,3090,330,1794,5214,S,47901,0,0,0,0,0,604,20017,76846,93,25011,2541,0,0,26,26,0,762,6323,235,911,10368,2192,2312,8056,0,2312,10368,0,27,43,39,0,373,326,0,5,547,654
DAVENPORT PUBLIC LIBRARY,WA0009,DAVENPORT,WA,Rural (42),1730,1,0,0,NO,CI,SO,Y,CI1,0,0.45,0,0.45,56285,0,0,0,56285,S,S,S,2500,1100,0,3600,S,35782,0,0,0,0,0,0,13707,76846,405,25011,498,0,1,24,25,0,832,3847,1304,1692,7751,2622,2685,5066,104,2789,7855,0,0,3,3,0,124,124,0,4,559,4717
HARRINGTON PUBLIC LIBRARY,WA0011,HARRINGTON,WA,Rural (43),415,1,0,0,NO,CI,SO,Y,CI1,0,0.15,0,0.15,7952,0,0,0,7952,S,S,S,2237,219,0,2456,S,14986,0,0,0,0,0,513,9794,76846,750,25011,489,0,0,0,0,1,294,1112,56,224,1680,961,511,1169,0,511,1680,13,0,35,8,0,72,60,0,2,823,254
KITTITAS PUBLIC (GILMOUR MEMORIAL) LIBRARY,WA0014,KITTITAS,WA,Rural (42),1530,1,0,0,NO,CI,SO,Y,CI1,0,0.5,0,0.5,28674,0,0,0,28674,S,S,S,1267,0,0,1267,S,24211,0,0,0,0,0,0,14448,76846,47,25011,1680,0,0,24,24,2,1010,2998,0,924,3379,422,1026,2353,1026,2052,4405,0,0,52,52,0,794,794,0,4,1830,210
LOPEZ ISLAND LIBRARY DISTRICT,WA0026,LOPEZ ISLAND,WA,Rural (42),2596,1,0,0,NO,LD,SO,Y,OTH,1.8,1.8,2.4,4.2,449129,0,402,38000,487531,262529,90471,353000,31191,20509,8000,59700,86698,499398,0,0,0,0,0,23784,31670,87657,1544,30011,9563,990,6,27,33,75,2450,54478,1956,3899,77646,13591,13716,63930,3374,17090,81020,0,197,272,121,8,4087,1769,163,14,8219,7077
ODESSA PUBLIC LIBRARY,WA0016,ODESSA,WA,Rural (43),910,1,0,0,NO,CI,SO,Y,CI1,0,0.25,0,0.25,1200,0,0,0,1200,S,S,S,1200,0,28,1228,S,10878,0,0,0,0,0,0,6000,76846,100,25011,300,0,0,24,24,1,530,1300,10,310,4079,220,579,3500,0,579,4079,0,0,2,0,0,15,0,0,3,177,14
ORCAS ISLAND LIBRARY DISTRICT,WA0029,EASTSOUND,WA,Rural (42),5632,1,0,0,NO,LD,SO,Y,OTH,2.85,5.4,2,7.4,924801,0,0,51326,976127,441295,146274,587569,54942,19490,11113,85545,178022,851136,0,0,0,3209,3209,125925,38870,76867,3313,25015,6246,3016,23,27,50,123,2643,118749,12109,5955,115988,30497,17541,98447,4004,21545,119992,310,1461,314,196,40,7227,3453,597,17,27598,31926
POMEROY (DENNY ASHBY) LIBRARY,WA0017,POMEROY,WA,Rural (42),2220,1,0,0,NO,CO,SO,Y,CO2,0,0.5,0,0.5,59760,0,0,0,59760,S,S,S,5450,1442,0,6892,S,46681,0,0,0,0,0,0,11800,76846,122,25011,997,0,0,26,26,6,1080,4813,1673,972,11633,5087,3302,8331,104,3406,11737,0,123,60,48,1,665,559,10,4,610,6052
REARDAN MEMORIAL LIBRARY,WA0019,REARDAN,WA,Rural (42),580,1,0,0,NO,CI,SO,Y,CI1,0,0.25,0,0.25,13710,0,20000,0,33710,S,S,S,1800,0,0,1800,S,31935,0,0,0,0,0,0,6127,76846,315,25011,663,0,0,24,24,0,520,1816,19,610,4073,914,1436,2637,0,1436,4073,0,18,29,29,0,479,479,0,3,483,200
RITZVILLE LIBRARY DISTRICT #2,WA0020,RITZVILLE,WA,Rural (43),3230,1,2,0,NO,LD,MO,Y,CO2,1,1,2.89,3.89,266050,0,2444,12691,281185,143086,45906,188992,13420,1550,1773,16743,45295,251030,0,0,0,0,0,7945,8893,76846,366,25011,2061,0,14,26,40,49,2425,15949,680,1001,33733,10193,4866,28867,48,4914,33781,61,61,307,240,22,4155,3498,161,34,3593,8806
SAN JUAN ISLAND LIBRARY DISTRICT,WA0031,FRIDAY HARBOR,WA,Rural (43),8236,1,0,0,NO,LD,SO,Y,OTH,4.6,9.1,1.1,10.2,1400327,405,0,168987,1569719,749126,282058,1031184,74934,25050,23690,123674,473311,1628169,0,0,0,0,0,5110,47920,76846,1810,25011,7815,0,39,27,66,236,2730,101116,7009,5712,153664,47396,20902,132762,18372,39274,172036,321,2708,520,206,40,8829,3830,205,28,17328,24999
SPRAGUE PUBLIC LIBRARY,WA0022,SPRAGUE,WA,Rural (42),440,1,0,0,NO,CI,SO,Y,CI1,0,0.25,0,0.25,13600,0,0,371,13971,S,S,S,1286,275,200,1761,S,11733,0,0,0,0,0,0,3526,76846,50,25011,662,0,0,24,24,0,1632,3338,332,134,1779,8,117,1662,0,117,1779,0,2,8,8,0,800,800,0,4,841,0
STEVENS COUNTY RURAL LIBRARY DISTRICT,WA0072,LOON LAKE,WA,Rural (42),45570,1,7,0,NO,LD,MO,Y,CO2,4,6,12.9,18.9,1662197,0,0,37548,1699745,880115,330976,1211091,71816,114644,19093,205553,304869,1721513,0,0,0,0,0,150000,62349,13476,2843,4323,10274,0,12,25,37,156,11960,287319,74649,11900,301403,95950,61634,239769,34529,96163,335932,242,501,904,493,23,8876,5989,180,50,44814,39103
UPPER SKAGIT LIBRARY DISTRICT,WA0073,CONCRETE,WA,Rural (42),5198,1,0,0,NO,LD,SO,Y,SD2,1,1,2.3,3.3,367309,0,0,8403,375712,196384,23621,220005,16034,2541,6817,25392,49887,295284,0,0,0,0,0,136984,11453,81097,271,36042,2061,0,0,26,26,20,1560,23129,4424,1458,40645,4648,4010,36635,0,4010,40645,46,40,137,129,20,2630,1983,269,11,3384,6970
WAITSBURG (WELLER) PUBLIC LIBRARY,WA0023,WAITSBURG,WA,Rural (42),1230,1,0,0,NO,CI,SO,Y,CI1,0,0.41,0,0.41,18649,0,0,0,18649,S,S,S,6631,0,0,6631,S,42548,0,0,0,0,0,1521,7704,76846,300,25011,326,0,0,24,24,3,600,10892,927,595,5713,2850,1553,4160,0,1553,5713,38,0,104,60,0,323,271,0,2,2439,321
WHATCOM COUNTY LIBRARY SYSTEM,WA0057,BELLINGHAM,WA,Rural (41),135190,0,11,1,NO,LD,MO,Y,CO2,10.66,12.3,84.57,96.87,8899525,0,6777,347994,9254296,4673721,1837530,6511251,535652,306421,330469,1172542,1177980,8861773,0,0,0,38618,38618,462928,231179,81486,30572,27261,45271,3250,11,27,38,836,34721,720536,85224,60472,2205526,852830,233501,1972025,211720,445221,2417246,340344,137447,2932,1261,684,65493,39301,11196,128,75951,80649
WILBUR (HESSELTINE) PUBLIC LIBRARY,WA0024,WILBUR,WA,Rural (43),890,1,0,0,NO,CI,SO,Y,CI1,0,0.2,0.2,0.4,16704,0,0,0,16704,S,S,S,3630,750,0,4380,S,16704,0,0,0,0,0,0,6303,76846,149,25011,189,0,0,24,24,17,416,1123,31,909,5750,586,1790,3960,104,1894,5854,7,7,11,8,0,141,119,0,2,59,107
